QTY,MAKE,PART NUMBER,PRODUCT NAME,DESCRIPTION,SERIAL,NOTE,SHELF,URL
1,CRESTRON,,HD-DA-2,1-to-2 HDMI® Distribution Amplifier & Audio Converter,,KIT3,A2,avidexloanerlistfremont.pythonanywhere.com/92/
1,CRESTRON,,HD-DA-2,1-to-2 HDMI® Distribution Amplifier & Audio Converter,,,A2,avidexloanerlistfremont.pythonanywhere.com/93/
1,CRESTRON,,HD-MD-300-C,DM Lite – HD Scaling Auto-Switcher & HDMI® over CATx Extender 300 w/Wall Plate Transmitter,,,A3,avidexloanerlistfremont.pythonanywhere.com/94/
1,CRESTRON,,HD-MD-400-C-E,DM Lite – HD Scaling Auto-Switcher & HDMI® over CATx Extender 300 w/Wall Plate Transmitter,,,A3,avidexloanerlistfremont.pythonanywhere.com/95/
1,CRESTRON,,HD-MD4X2-4K-E,4x2 4K HDMI® Switcher,,,A3,avidexloanerlistfremont.pythonanywhere.com/96/
1,CRESTRON,,HD-RX-2-C,?,,KIT4,A2,avidexloanerlistfremont.pythonanywhere.com/97/
1,CRESTRON,,HD-RX-201-C-E,"DM Lite – HDMI® over CATx Receiver, Room Controller, 2x1 Auto-Switcher, HD Scaler, Surface Mount",,,A3,avidexloanerlistfremont.pythonanywhere.com/98/
1,CRESTRON,,HD-RX-4-C-B,"4K HDMI® over HDBaseT® Receiver w/Analog Audio, Black",,,A3,avidexloanerlistfremont.pythonanywhere.com/99/
1,CRESTRON,,HD-SCALER,High-Definition Video Scaler,,CRESTRON MISC BOX,B6,avidexloanerlistfremont.pythonanywhere.com/100/
1,CRESTRON,,HD-TX-101-C-1G-E-W-T,"DM Lite® Transmitter for HDMI® Signal Extension over CATx Cable, Wall Plate, White Textured",,,A2,avidexloanerlistfremont.pythonanywhere.com/101/
1,CRESTRON,,HD-TX3-C-W,"4K HDMI® over HDBaseT® Transmitter, White",,,A5,avidexloanerlistfremont.pythonanywhere.com/102/
